headline,cleaned_headline,label,label_encoded
เปิดรับคำร้องขอสัญชาติไทยให้คนต่างด้าว 2 กลุ่ม,เปิดรับคำร้องขอสัญชาติไทยให้คนต่างด้าว กลุ่ม,Real,1
ทำใบขับขี่ออนไลน์ได้ทุกประเภท ติดต่อที่เพจเฟซบุ๊กธันย์ชนก,ทำใบขับขี่ออนไลน์ได้ทุกประเภท ติดต่อที่เพจเฟซบุ๊กธันย์ชนก,Fake,0
ตำรวจอนุญาตให้ชาวจีนพกใบขับขี่สากลปลอมได้,ตำรวจอนุญาตให้ชาวจีนพกใบขับขี่สากลปลอมได้,Fake,0
ออมสิน ปล่อยสินเชื่อ ผ่าน TikTok ชื่อ whbgfxjez2t,ออมสิน ปล่อยสินเชื่อ ผ่าน TikTok ชื่อ whbgfxjezt,Fake,0
เสี่ยงเกิดสึนามิที่ภาคใต้ฝั่งอันดามัน อาจรุนแรงกว่าปี 2547,เสี่ยงเกิดสึนามิที่ภาคใต้ฝั่งอันดามัน อาจรุนแรงกว่าปี,Fake,0
เตือนภัยผู้สูงอายุ! คำพูดสวยหรูของมิจฉาชีพ แท้จริงคือกลลวง,เตือนภัยผู้สูงอายุ! คำพูดสวยหรูของมิจฉาชีพ แท้จริงคือกลลวง,Real,1
ตัดวงจร #อาชญากรรมออนไลน์ 2 กรกฎาคม 2568,ตัดวงจร #อาชญากรรมออนไลน์ กรกฎาคม,Real,1
"OR เปิดให้ลงทุนหุ้นคาเฟ่อเมซอน เริ่ม 1,000 บาท ปันผลวันละ 290 บาท ผ่านเพจ Amazon Corporation","OR เปิดให้ลงทุนหุ้นคาเฟ่อเมซอน เริ่ม , บาท ปันผลวันละ บาท ผ่านเพจ Amazon Corporation",Fake,0
สั่งล็อกเลขสลากกินแบ่งฯ งวด 1 ก.ค. 68 เพื่อช่วยคนไทย,สั่งล็อกเลขสลากกินแบ่งฯ งวด ก.ค. เพื่อช่วยคนไทย,Fake,0
บริษัท Cambodia-Logistics ส่งของข้ามชายแดนไทย-กัมพูชาได้เป็นปกติ,บริษัท Cambodia-Logistics ส่งของข้ามชายแดนไทย-กัมพูชาได้เป็นปกติ,Fake,0
ด่านชายแดนคลองลึก จ.สระแก้ว ยังเปิดเป็นปกติ,ด่านชายแดนคลองลึก จ.สระแก้ว ยังเปิดเป็นปกติ,Fake,0
ปปง. ร่วมกับตำรวจสอบสวนกลาง เปิดให้ติดต่อรับเงินคืน ผ่านเพจ Reduce danger online,ปปง. ร่วมกับตำรวจสอบสวนกลาง เปิดให้ติดต่อรับเงินคืน ผ่านเพจ Reduce danger online,Fake,0
วันที่ 5 ก.ค. 2025 จะเกิดคลื่นสึนามิใหญ่,วันที่ ก.ค. จะเกิดคลื่นสึนามิใหญ่,Fake,0
กองกำลังบูรพา ออกหนังสือยกเลิกผ่อนผันแรงงานกัมพูชา ที่ถือ Border Pass อยู่ไทย,กองกำลังบูรพา ออกหนังสือยกเลิกผ่อนผันแรงงานกัมพูชา ที่ถือ Border Pass อยู่ไทย,Fake,0
3 วิธีการรับมือ Cyberbullying ไม่ให้โดนระรานจนใจพัง,วิธีการรับมือ Cyberbullying ไม่ให้โดนระรานจนใจพัง,Real,1
ตัดวงจร #อาชญากรรมออนไลน์ 1 กรกฎาคม 2568,ตัดวงจร #อาชญากรรมออนไลน์ กรกฎาคม,Real,1
เพจ Alinda รับทำใบขับขี่ออนไลน์ ถูกกฎหมาย ทั้งรถยนต์-มอเตอร์ไซค์,เพจ Alinda รับทำใบขับขี่ออนไลน์ ถูกกฎหมาย ทั้งรถยนต์-มอเตอร์ไซค์,Fake,0
ทุกเหล่าทัพประชุม หากประกาศกฎอัยการศึก นักการเมืองจะสั่งการทหารไม่ได้,ทุกเหล่าทัพประชุม หากประกาศกฎอัยการศึก นักการเมืองจะสั่งการทหารไม่ได้,Fake,0
ตม. ช่วยผู้ใส่เครื่องแบบราชการ ขอยื่นวีซ่าได้เร็วขึ้น,ตม. ช่วยผู้ใส่เครื่องแบบราชการ ขอยื่นวีซ่าได้เร็วขึ้น,Fake,0
บริษัท ปตท. น้ำมันและการค้าปลีก จำกัด (มหาชน) เสนอขายหุ้น IPO ครั้งแรก,บริษัท ปตท. น้ำมันและการค้าปลีก จำกัด (มหาชน) เสนอขายหุ้น IPO ครั้งแรก,Fake,0
ข้าวกัมพูชาแอบอ้างใช้ภาษาไทย และธงชาติไทย วางขายในซูเปอร์มาร์เก็ตจีน,ข้าวกัมพูชาแอบอ้างใช้ภาษาไทย และธงชาติไทย วางขายในซูเปอร์มาร์เก็ตจีน,Real,1
ด่านคลองลึกเปิดให้นักเรียนกัมพูชาข้ามแดน โดยไม่ใช้เอกสารผ่านแดน,ด่านคลองลึกเปิดให้นักเรียนกัมพูชาข้ามแดน โดยไม่ใช้เอกสารผ่านแดน,Fake,0
ธนาคารกรุงไทย ปล่อยสินเชื่อ ผ่าน TikTok ชื่อ .scb27,ธนาคารกรุงไทย ปล่อยสินเชื่อ ผ่าน TikTok ชื่อ .scb,Fake,0
รู้ทันคำลวง งานเบาเงินดีจากมิจฉาชีพที่อาจทำให้หมดตัว,รู้ทันคำลวง งานเบาเงินดีจากมิจฉาชีพที่อาจทำให้หมดตัว,Real,1
ตัดวงจร #อาชญากรรมออนไลน์ 30 มิถุนายน 2568,ตัดวงจร #อาชญากรรมออนไลน์ มิถุนายน,Real,1
กองทัพไทย ส่งหน่วยรบพิเศษตามด้วย Gripen ทำลายคลังเสบียงกัมพูชา,กองทัพไทย ส่งหน่วยรบพิเศษตามด้วย Gripen ทำลายคลังเสบียงกัมพูชา,Fake,0
เกิดแผ่นดินไหวบริเวณทะเลอันดามัน เตรียมตัวรับเมนช็อกที่ขนาดความลึกเท่ากัน,เกิดแผ่นดินไหวบริเวณทะเลอันดามัน เตรียมตัวรับเมนช็อกที่ขนาดความลึกเท่ากัน,Fake,0
ฉี่บ่อย สาเหตุเกิดจากลมในช่องท้องมาก,ฉี่บ่อย สาเหตุเกิดจากลมในช่องท้องมาก,Fake,0
พบโดรนจากไทยถูกส่งไปกัมพูชา,พบโดรนจากไทยถูกส่งไปกัมพูชา,Fake,0
ปปง. เปิดบัญชีไลน์ใหม่ โดยใช้ชื่อว่า ปปง.,ปปง. เปิดบัญชีไลน์ใหม่ โดยใช้ชื่อว่า ปปง.,Fake,0
ตลาดหลักทรัพย์ฯ ชวนเข้าร่วมกลุ่มไลน์ แนะนำลงทุนหุ้นรายวันฟรี 100 ท่านแรก,ตลาดหลักทรัพย์ฯ ชวนเข้าร่วมกลุ่มไลน์ แนะนำลงทุนหุ้นรายวันฟรี ท่านแรก,Fake,0
ประเทศไทยเฝ้าระวังแผ่นดินไหว พบการเขย่าแรงขึ้นในวันที่ 25 มิ.ย. 68,ประเทศไทยเฝ้าระวังแผ่นดินไหว พบการเขย่าแรงขึ้นในวันที่ มิ.ย.,Fake,0
นำเข้าอาหารไม่มีฉลากภาษาไทย ผิดกฎหมาย!,นำเข้าอาหารไม่มีฉลากภาษาไทย ผิดกฎหมาย!,Real,1
ตัดวงจร #อาชญากรรมออนไลน์ 29 มิถุนายน 2568,ตัดวงจร #อาชญากรรมออนไลน์ มิถุนายน,Real,1
ผลิตภัณฑ์ Genesis ลดอาการหูอื้อ หูดับ เสียงดังรบกวนในหู,ผลิตภัณฑ์ Genesis ลดอาการหูอื้อ หูดับ เสียงดังรบกวนในหู,Fake,0
กรมบัญชีกลาง เปิดเว็บไซต์ให้ดาวน์โหลดแอปพลิเคชันใหม่,กรมบัญชีกลาง เปิดเว็บไซต์ให้ดาวน์โหลดแอปพลิเคชันใหม่,Fake,0
บัญชีไลน์ โบรกเกอร์ ยุทธชัย เป็นผู้ให้คำปรึกษาด้านการลงทุนของ ก.ล.ต.,บัญชีไลน์ โบรกเกอร์ ยุทธชัย เป็นผู้ให้คำปรึกษาด้านการลงทุนของ ก.ล.ต.,Fake,0
อาการคันเท้า เป็นสัญญาณของ โรคตับ เบาหวาน และโรคไต,อาการคันเท้า เป็นสัญญาณของ โรคตับ เบาหวาน และโรคไต,Fake,0
แรงงานลาวแห่ทะลักเข้าไทย หลังแรงงานกัมพูชาทยอยกลับ,แรงงานลาวแห่ทะลักเข้าไทย หลังแรงงานกัมพูชาทยอยกลับ,Fake,0
ประกันสังคม คืนเงินสมทบ ผู้ประกันตนมาตรา 33 และ 39 ที่ได้รับผลกระทบจากอุทกภัย,ประกันสังคม คืนเงินสมทบ ผู้ประกันตนมาตรา และ ที่ได้รับผลกระทบจากอุทกภัย,Real,1
กรุงไทย ส่งเอกสารแจ้งเรื่องเปิดสมุดบัญชีที่มีเส้นทางการเงินพิรุธ,กรุงไทย ส่งเอกสารแจ้งเรื่องเปิดสมุดบัญชีที่มีเส้นทางการเงินพิรุธ,Fake,0
รู้ให้ทัน! 3 กลโกงยอดนิยมของมิจฉาชีพ,รู้ให้ทัน! กลโกงยอดนิยมของมิจฉาชีพ,Real,1
ตัดวงจร #อาชญากรรมออนไลน์ 28 มิถุนายน 2568,ตัดวงจร #อาชญากรรมออนไลน์ มิถุนายน,Real,1
